         66953 function calls (63609 primitive calls) in 19.583 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.043    0.021 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\routing.py:204(run_endpoint_function)
        2    0.000    0.000    0.043    0.021 d:\Brayo\Python\Optivest Scripts v1\app.py:164(predict_financials)
        2    0.000    0.000    0.043    0.021 d:\Brayo\Python\Optivest Scripts v1\app.py:132(process_predictions)
        1    0.000    0.000    0.042    0.042 d:\Brayo\Python\Optivest Scripts v1\app.py:121(get_dates)
       55    0.003    0.000    0.041    0.001 <frozen importlib._bootstrap_external>:1527(find_spec)
       27    0.041    0.002    0.041    0.002 {built-in method io.open_code}
        1    0.000    0.000    0.035    0.035 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\h11\_readers.py:1(<module>)
      133    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      133    0.033    0.000    0.033    0.000 {built-in method nt.stat}
      173    0.004    0.000    0.033    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:222(main_loop)
        1    0.001    0.001    0.032    0.032 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pandas\core\tools\datetimes.py:673(to_datetime)
        1    0.000    0.000    0.030    0.030 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_model_construction.py:83(__new__)
       13    0.000    0.000    0.028    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\_compat.py:109(__post_init__)
       13    0.000    0.000    0.026    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\type_adapter.py:189(__init__)
        1    0.003    0.003    0.025    0.025 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pandas\core\tools\datetimes.py:314(_convert_listlike_datetimes)
    15/14    0.000    0.000    0.025    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\type_adapter.py:132(wrapped)
      348    0.007    0.000    0.024    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\tasks.py:597(sleep)
      118    0.001    0.000    0.024    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
       13    0.001    0.000    0.024    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\type_adapter.py:267(_init_core_attrs)
       15    0.000    0.000    0.023    0.002 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:759(compile)
  184/176    0.001    0.000    0.023    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:303(inner)
        7    0.000    0.000    0.022    0.003 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:1168(wrap)
        7    0.001    0.000    0.022    0.003 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:876(_process_class)
       22    0.000    0.000    0.022    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\re.py:249(compile)
        1    0.000    0.000    0.022    0.022 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_model_construction.py:530(complete_model_class)
       13    0.000    0.000    0.020    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\type_adapter.py:45(_get_schema)
    22/14    0.000    0.000    0.020    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:620(generate_schema)
        1    0.013    0.013    0.020    0.020 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pandas\core\tools\datetimes.py:126(_guess_datetime_format_for_array)
        2    0.000    0.000    0.020    0.010 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\routing.py:879(add_api_route)
        2    0.000    0.000    0.020    0.010 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\routing.py:429(__init__)
       27    0.019    0.001    0.019    0.001 {method 'read' of '_io.BufferedReader' objects}
       14    0.000    0.000    0.019    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:589(clean_schema)
        4    0.000    0.000    0.019    0.005 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\threading.py:909(start)
        4    0.000    0.000    0.019    0.005 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\threading.py:582(wait)
        2    0.000    0.000    0.019    0.009 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\dependencies\utils.py:257(get_dependant)
        7    0.000    0.000    0.019    0.003 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       29    0.018    0.001    0.018    0.001 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.018    0.009 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\dependencies\utils.py:340(analyze_param)
       84    0.000    0.000    0.017    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:402(walk_core_schema)
        6    0.000    0.000    0.017    0.003 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\threads.py:12(to_thread)
        3    0.000    0.000    0.017    0.006 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:799(run_in_executor)
       30    0.001    0.000    0.017    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:412(_create_fn)
